"StateName","CovidProbabilityPerPerson"
"Alabama",0.500541178845995
"Alaska",0.856593921084827
"American Samoa",0.433601121475171
"Arizona",0.521087576285766
"Arkansas",0.492357025174597
"California",0.50717313475377
"Colorado",0.533310261140639
"Connecticut",0.42248464148889
"Delaware",0.568677831589584
"Diamond Princess",NA
"District of Columbia",0.475201523487812
"Florida",0.555158767425078
"Georgia",0.435590444121893
"Grand Princess",NA
"Guam",0.876568693714265
"Hawaii",0.598935496994079
"Idaho",0.459898212991693
"Illinois",0.512979784042088
"Indiana",0.471448121340081
"Iowa",0.418580570320151
"Kansas",0.517549773213598
"Kentucky",0.66345477836001
"Louisiana",0.497139258052734
"Maine",0.461630308314462
"Maryland",0.360361448174564
"Massachusetts",0.546606073294419
"Michigan",0.509457580097522
"Minnesota",0.526992895990377
"Mississippi",0.506990745423028
"Missouri",0.420952718304801
"Montana",0.503074539333706
"Nebraska",0.447660989822209
"Nevada",0.441732496665753
"New Hampshire",0.525683031173536
"New Jersey",0.534712722875777
"New Mexico",0.547758543972828
"New York",0.572526849968496
"North Carolina",0.555979814806975
"North Dakota",0.583145465854484
"Northern Mariana Islands",0.694454519077325
"Ohio",0.476854248830107
"Oklahoma",0.481010348572178
"Oregon",0.442356173464585
"Pennsylvania",0.440233623072165
"Puerto Rico",0.694691476390662
"Rhode Island",0.72471612604202
"South Carolina",0.569603982664409
"South Dakota",0.430579466212405
"Tennessee",0.562821067379452
"Texas",0.447179376960472
"Utah",0.53750860117319
"Vermont",0.54199032354737
"Virgin Islands",0.472284371853675
"Virginia",0.449819044395543
"Washington",0.491088975248897
"West Virginia",0.663486309995776
"Wisconsin",0.567597674786867
"Wyoming",0.537233978218913
